Sr.no,state,2011,2012,2013,2014,2015,2016,2017,2018,2019
1,Andaman & Nicobar,2675,2555,2123,2737,1583,567,983,1850,387
2,Andhra Pradesh,28888,243820,243820,128480,128480,82863,74588,66314,46222
3,Arunachal Pradesh,453,673,863,1273,1454,3836,6000,3787.37,2715
4,Assam,1226,1116,781,1363,24010,24030,28153,32277.87,4971
5,Bihar,1527,1673,1723,1893,2314,2280,2280,68903.328,41365
6,Chandigarh,5548,4964,4818,8992,13167,21516.75,12775,11715.4,6746
7,Chhattisgarh,4678,5840,6123,6345,6897,7300,6650,6000,32850
8,Daman,1274,1347,14736,1573,1637,1733,1836,1947.7,1948
9,Delhi,261234,251850,23456,24567,128649,232732,228771,224810,230525
10,Goa,415,1642.5,117.73,104,106,28273,26242,32580.52,26068
11,Gujarat,23666,251796.65,251796.65,265568.2,269294.88,271092,269808,356873,408201
12,Haryana,52883,55480,50332.69,44536,32452,23369.09,46353,68735.26,147734
13,Himachal Pradesh,202.67,106.72,2326.8,1004,1577,2525,2677,3672,13683
14,Jammu & Kashmir,10273,11748,7832,4164.45,6243.2,4645,27870,34367.37,74826.33
15,Jharkhand,16691.05,81030,75817.8,35262.36,35853.52,36772,43644,51454.53,43332
16,Karnataka,67533,77247,77247,103423,129600,419600,346188,272776,296380
17,Kerala,109500,50370,27794,26423,25566,21663,15325,133316,131400
18,Lakshadweep,109,110,120,150,200,170,160,148,46
19,Madhya Pradesh,16887,23400,22973.95,27763.6,30884.47,50457.07,61037,72327.39,121079
20,Maharashtra,1045.24,10950,587235,537735,469098,21420.33,272652,409630,443724
21,Manipur,3041,4380,5475,2562,3041,2732,2423,12453.8,8293
22,Meghalaya,6773,4599,4015,13.94,13.94,13.265,15.096,1263,5043
23,Mizoram,32536,1682.5,45625,45625,6396,55480,3234,13.306,7909
24,Nagaland,3846,5736,6786,8977,10237,12836,14052.5,268.18,565
25,Odisha,600,2902,896.618,1871.13,27859.17,6890.805,12092.205,90138.98,45339.4
26,Pondicherry,3284,4927.5,10374,16425,10376,9252.25,8842.5,8433,9736
27,Punjab,31000,22664,377.765,43282.27,48073.22,163423.4,54066.1,119414.64,92890
28,Sikkim,1047,1668.05,1245,894,575,102.7,98,5.66,69
29,Tamil Nadu,22746,205724.95,17884,16784,150323.47,79114.792,50873,401091,431472
30,Telangana,17895,19554,243820,123005,120961,15231,17562,183014.65,233655
31,Tripura,182.5,1095,1168,33,31,30,28.5,26.2,32
32,Uttar Pradesh,56214,72351,86222,93597.97,130777.39,150265,22003,254401.8,161148
33,Uttarakhand,1423,1502,1802,2240,3016.3,152492.6445,20215,31093,25203
34,West Bengal,189562,200750,158952,165891,175689,198562,286512,300236.12,300236
